QP,Nat,Athlete,Status,Details
36,MEX,Cecilia TAMAYO-GARZA,Qualified by World Rankings,45th - 1201p
37,CAN,Jacqueline MADOGO,Qualified by World Rankings,47th - 1200p
38,SUI,Léonie POINTET,Qualified by World Rankings,48th - 1200p
,JAM,Dejanea OAKLEY,Qualified by World Rankings,49th - 1199p
39,ITA,Anna BONGIORNI,Qualified by World Rankings,50th - 1197p
40,DEN,Ida KARSTOFT,Qualified by World Rankings,51st - 1197p
,USA,Caisja CHANDLER,Qualified by World Rankings,52nd - 1196p
41,SWE,Nora LINDAHL,Qualified by World Rankings,55th - 1196p
42,CHN,Yuting LI,Qualified by World Rankings,57th - 1193p
,JAM,Ashanti MOORE,Qualified by World Rankings,60th - 1191p
43,ECU,Aimara NAZARENO,Qualified by World Rankings,61st - 1191p
44,ECU,Gabriela Anahi SUAREZ,Qualified by World Rankings,62nd - 1191p
45,NED,Marije VAN HUNENSTIJN,Qualified by World Rankings,64th - 1189p
46,POL,Martyna KOTWIŁA,Qualified by World Rankings,66th - 1188p
47,ESP,Paula SEVILLA,Qualified by World Rankings,67th - 1187p
,USA,Candace HILL,Qualified by World Rankings,68th - 1187p
48,AUS,Mia GROSS,Qualified by World Rankings,69th - 1186p
,USA,Kennedy BLACKMON,Next best by World Rankings,70th - 1184p
,USA,Mia BRAHE-PEDERSEN,Next best by World Rankings,71st - 1184p
49,KAZ,Olga SAFRONOVA,Next best by World Rankings,72nd - 1184p
,GBR,Amber ANNING,Next best by World Rankings,74th - 1183p
50,POL,Krystsina TSIMANOUSKAYA,Next best by World Rankings,75th - 1183p
51,GAM,Gina Mariam BASS BITTAYE,Next best by World Rankings,76th - 1182p
52,IVB,Adaejah HODGE,Next best by World Rankings,77th - 1182p
53,BEL,Imke VERVAET,Next best by World Rankings,79th - 1182p
,JAM,Jodean WILLIAMS,Next best by World Rankings,80th - 1182p
54,POR,Lorène Dorcas BAZOLO,Next best by World Rankings,81st - 1180p
,USA,Iyana GRAY,Next best by World Rankings,82nd - 1180p
55,BRA,Lorraine MARTINS,Next best by World Rankings,83rd - 1179p
56,RSA,Shirley NEKHUBUI,Next best by World Rankings,84th - 1178p
,USA,Lynna IRBY-JACKSON,Next best by World Rankings,86th - 1177p
57,PHI,Kristina Marie KNOTT,Next best by World Rankings,87th - 1176p
58,NGR,Olayinka OLAJIDE,Next best by World Rankings,88th - 1175p
59,SUI,Sarah ATCHO-JAQUIER,Next best by World Rankings,89th - 1175p
60,IRL,Phil HEALY,Next best by World Rankings,90th - 1175p
,USA,Madison WHYTE,Next best by World Rankings,91st - 1174p
61,CAN,Zoe SHERAR,Next best by World Rankings,92nd - 1172p
62,GER,Jessica-Bianca WESSOLLY,Next best by World Rankings,93rd - 1171p
,USA,Adriana TATUM,Next best by World Rankings,94th - 1171p
63,ITA,Irene SIRAGUSA,Next best by World Rankings,95th - 1171p
64,JPN,Remi TSURUTA,Next best by World Rankings,96th - 1170p
65,ESP,Esther NAVERO,Next best by World Rankings,97th - 1169p
66,COL,Laura MARTÍNEZ IBARGUEN,Next best by World Rankings,98th - 1168p
,JAM,Nickisha PRYCE,Next best by World Rankings,99th - 1168p
67,NZL,Georgia HULLS,Next best by World Rankings,100th - 1168p
68,GRE,Artemis Melina ANASTASIOU,Next best by World Rankings,101st - 1168p
69,AUT,Susanne GOGL-WALLI,Next best by World Rankings,102nd - 1166p
70,IVB,Beyonce DEFREITAS,Next best by World Rankings,104th - 1165p
,USA,Camryn DICKSON,Next best by World Rankings,105th - 1165p
,GBR,Success EDUAN,Next best by World Rankings,107th - 1163p
71,GER,Lisa Marie KWAYIE,Next best by World Rankings,108th - 1162p
,USA,Kynnedy FLANNEL,Next best by World Rankings,110th - 1160p
,ESP,Esperança CLADERA,Next best by World Rankings,111th - 1159p
72,CGO,Natacha NGOYE,Next best by World Rankings,112th - 1158p
,USA,Elise COOPER,Next best by World Rankings,113th - 1158p
73,COL,Lina Esther LICONA TORRES,Next best by World Rankings,114th - 1157p
74,HUN,Alexa SULYÁN,Next best by World Rankings,115th - 1155p
75,GHA,Mary BOAKYE,Next best by World Rankings,116th - 1153p
76,FIN,Anniina KORTETMAA,Next best by World Rankings,117th - 1153p
77,GER,Talea PREPENS,Next best by World Rankings,118th - 1153p
78,BRA,Vitoria Cristina ROSA,Next best by World Rankings,119th - 1152p
79,BOT,Tsaone Bakani SEBELE,Next best by World Rankings,120th - 1152p
,USA,Kenondra DAVIS,Next best by World Rankings,121st - 1152p
80,LAT,Gunta VAIČULE,Next best by World Rankings,123rd - 1151p
81,POL,Marlena GRANASZEWSKA,Next best by World Rankings,125th - 1149p
,NGR,Rosemary CHUKWUMA,Next best by World Rankings,126th - 1149p
,USA,Cambrea STURGIS,Next best by World Rankings,127th - 1149p
82,MAW,Asimenye SIMWAKA,Next best by World Rankings,128th - 1148p
83,FIN,Aino PULKKINEN,Next best by World Rankings,130th - 1148p
,JAM,Shanoya Mikalia DOUGLAS,Next best by World Rankings,131st - 1147p
84,CMR,Herverge KOLE ETAME,Next best by World Rankings,132nd - 1147p
85,BEL,Delphine NKANSA,Next best by World Rankings,133rd - 1146p
,USA,Tiriah KELLEY,Next best by World Rankings,134th - 1146p
86,FRA,Paméra LOSANGE,Next best by World Rankings,137th - 1144p
,NGR,Precious NZEAKOR,Next best by World Rankings,138th - 1143p
87,LTU,Lukrecija SABAITYTĖ,Next best by World Rankings,139th - 1143p
,POL,Nikola HOROWSKA,Next best by World Rankings,140th - 1142p
,GBR,Ama PIPI,Next best by World Rankings,141st - 1142p
,USA,Te'Anna HARLIN,Next best by World Rankings,142nd - 1142p
88,MAR,Sara EL HACHIMI,Next best by World Rankings,143rd - 1139p
,USA,Jada BAYLARK,Next best by World Rankings,144th - 1139p
89,BAH,Denisha CARTWRIGHT,Next best by World Rankings,145th - 1139p
,USA,Halle BIEBER,Next best by World Rankings,146th - 1139p
90,EST,Ann Marii KIVIKAS,Next best by World Rankings,147th - 1138p
,GBR,Brooke IRONSIDE,Next best by World Rankings,148th - 1138p
,JAM,Ashley WILLIAMS,Next best by World Rankings,149th - 1138p
,SUI,Fabienne HOENKE,Next best by World Rankings,150th - 1138p
91,AUS,Riley DAY,Next best by World Rankings,152nd - 1137p
,JAM,Natasha MORRISON,Next best by World Rankings,153rd - 1137p
92,SLO,Maja MIHALINEC ZIDAR,Next best by World Rankings,154th - 1137p
93,IND,Jyothi YARRAJI,Next best by World Rankings,155th - 1136p
,GER,Louise WIELAND,Next best by World Rankings,157th - 1135p
,FRA,Maroussia PARÉ,Next best by World Rankings,158th - 1134p
94,CUB,Yunisleidy GARCÍA ABREU,Next best by World Rankings,159th - 1133p
95,NOR,Christine Bjelland JENSEN,Next best by World Rankings,160th - 1133p
96,VEN,Orangy JIMÉNEZ,Next best by World Rankings,161st - 1133p
,USA,Alexis BROWN,Next best by World Rankings,162nd - 1133p
